N° de factura,Fecha de factura,ID Cliente,País,Cantidad,Monto,Cancelada
555213,2021-06-01 12:22:00,13094.0,United Kingdom,144.0,152.64,0
549923,2021-04-13 09:59:00,13138.0,United Kingdom,72.0,193.62,0
575198,2021-11-09 09:47:00,12921.0,United Kingdom,19.0,71.25,0
C549986,2021-04-13 16:03:00,18178.0,United Kingdom,,,1
569005,2021-09-29 18:30:00,16268.0,United Kingdom,465.0,493.76,0
566307,2021-09-12 09:37:00,14307.0,United Kingdom,323.0,656.23,0
539049,2020-12-15 16:21:00,15615.0,United Kingdom,364.0,1048.64,0
549684,2021-04-11 13:24:00,Cliente_generico,United Kingdom,1.0,30.0,0
580068,2021-12-01 13:41:00,17321.0,United Kingdom,5.0,41.25,0
542745,2021-01-31 16:47:00,15881.0,United Kingdom,154.0,339.29,0
575525,2021-11-10 11:06:00,13983.0,United Kingdom,72.0,128.88,0
C562884,2021-08-10 11:25:00,14056.0,United Kingdom,,,1
C560842,2021-07-21 12:25:00,14527.0,United Kingdom,,,1
542936,2021-02-02 11:10:00,Cliente_generico,United Kingdom,144.0,161.56,0
565682,2021-09-06 10:42:00,14796.0,United Kingdom,467.0,835.95,0
C562514,2021-08-05 12:20:00,13408.0,United Kingdom,,,1
562220,2021-08-03 14:19:00,15150.0,United Kingdom,108.0,304.42,0
562002,2021-08-01 13:48:00,14567.0,United Kingdom,172.0,800.76,0
C561210,2021-07-25 16:58:00,17841.0,United Kingdom,,,1
C545502,2021-03-03 11:33:00,15078.0,United Kingdom,,,1
538010,2020-12-09 12:20:00,17526.0,United Kingdom,40.0,226.8,0
579089,2021-11-28 10:46:00,17920.0,United Kingdom,58.0,111.11,0
560713,2021-07-20 13:09:00,16774.0,United Kingdom,56.0,160.8,0
571098,2021-10-13 15:38:00,17841.0,United Kingdom,200.0,437.43,0
574994,2021-11-08 11:03:00,17870.0,United Kingdom,62.0,143.11,0
570257,2021-10-10 09:56:00,13767.0,United Kingdom,129.0,380.31,0
541669,2021-01-20 12:29:00,17315.0,United Kingdom,172.0,331.76,0
C560687,2021-07-20 11:51:00,14606.0,United Kingdom,,,1
C569891,2021-10-06 15:46:00,13924.0,United Kingdom,,,1
552404,2021-05-09 12:39:00,15932.0,United Kingdom,262.0,305.02,0
566035,2021-09-08 13:17:00,12839.0,United Kingdom,286.0,413.58,0
576911,2021-11-17 10:01:00,17461.0,United Kingdom,342.0,349.2,0
572272,2021-10-21 16:18:00,13171.0,United Kingdom,60.0,132.54,0
577783,2021-11-21 16:20:00,18139.0,United Kingdom,1644.0,2786.4,0
578757,2021-11-25 11:41:00,12748.0,United Kingdom,256.0,420.41,0
C553557,2021-05-17 17:03:00,13266.0,United Kingdom,,,1
542351,2021-01-27 12:13:00,14560.0,United Kingdom,39.0,152.25,0
558245,2021-06-27 16:28:00,Cliente_generico,United Kingdom,8.0,,0
C578090,2021-11-22 17:03:00,12483.0,Sweden,,,1
559164,2021-07-06 16:39:00,16422.0,United Kingdom,406.0,587.46,0
578150,2021-11-23 11:18:00,16020.0,United Kingdom,10.0,16.5,0
558770,2021-07-03 15:19:00,12748.0,United Kingdom,60.0,115.55,0
C569552,2021-10-04 17:44:00,14533.0,United Kingdom,,,1
C550646,2021-04-19 16:32:00,16873.0,United Kingdom,,,1
C571329,2021-10-17 11:32:00,17706.0,United Kingdom,,,1
C544557,2021-02-21 12:31:00,17422.0,United Kingdom,,,1
C539277,2020-12-16 15:37:00,15777.0,United Kingdom,,,1
C577731,2021-11-21 13:06:00,17811.0,United Kingdom,,,1
580386,2021-12-04 10:29:00,18065.0,United Kingdom,50.0,188.9,0
C553866,2021-05-19 14:14:00,14620.0,United Kingdom,,,1
570252,2021-10-10 09:14:00,14665.0,United Kingdom,238.0,559.52,0
536782,2020-12-02 15:18:00,17567.0,United Kingdom,244.0,517.95,0
C544594,2021-02-21 16:58:00,15079.0,United Kingdom,,,1
571082,2021-10-13 15:25:00,Cliente_generico,United Kingdom,479.0,1354.71,0
551984,2021-05-05 14:37:00,15841.0,United Kingdom,234.0,281.66,0
C554931,2021-05-27 13:21:00,17841.0,United Kingdom,,,1
564476,2021-08-25 12:57:00,12610.0,Italy,168.0,309.5,0
540353,2021-01-06 14:53:00,13764.0,United Kingdom,282.0,499.89,0
558706,2021-07-01 12:52:00,16839.0,United Kingdom,320.0,416.96,0
566278,2021-09-11 14:05:00,13614.0,United Kingdom,67.0,302.15,0
540477,2021-01-07 14:49:00,13233.0,United Kingdom,404.0,304.24,0
569695,2021-10-05 15:35:00,16843.0,United Kingdom,938.0,993.88,0
C556920,2021-06-15 13:49:00,13047.0,United Kingdom,,,1
C543469,2021-02-08 14:55:00,12709.0,Germany,,,1
538308,2020-12-10 13:29:00,14107.0,United Kingdom,268.0,363.24,0
549054,2021-04-06 10:21:00,17719.0,United Kingdom,109.0,312.19,0
555626,2021-06-06 11:55:00,16103.0,United Kingdom,92.0,270.8,0
C572343,2021-10-24 10:40:00,14607.0,United Kingdom,,,1
C558530,2021-06-30 11:26:00,15039.0,United Kingdom,,,1
563921,2021-08-21 14:00:00,16407.0,United Kingdom,2.0,15.9,0
563943,2021-08-22 10:04:00,13139.0,United Kingdom,268.0,540.92,0
575854,2021-11-11 12:20:00,14125.0,United Kingdom,486.0,1111.08,0
552764,2021-05-11 11:34:00,17489.0,United Kingdom,232.0,208.56,0
571407,2021-10-17 12:16:00,13750.0,United Kingdom,85.0,330.63,0
548208,2021-03-29 17:12:00,14189.0,United Kingdom,224.0,314.1,0
556922,2021-06-15 13:56:00,12748.0,United Kingdom,5.0,14.25,0
572076,2021-10-20 14:01:00,13761.0,United Kingdom,418.0,578.94,0
544189,2021-02-16 16:40:00,15867.0,United Kingdom,36.0,133.0,0
562543,2021-08-05 15:45:00,13552.0,United Kingdom,216.0,463.9,0
573136,2021-10-27 17:00:00,12709.0,Germany,110.0,268.68,0
558261,2021-06-28 08:39:00,16945.0,United Kingdom,24.0,10.08,0
581482,2021-12-09 09:08:00,17490.0,United Kingdom,228.0,488.4,0
579740,2021-11-30 14:30:00,Cliente_generico,United Kingdom,13.0,32.07,0
559538,2021-07-10 12:25:00,16880.0,United Kingdom,135.0,269.49,0
548862,2021-04-04 13:47:00,17956.0,United Kingdom,1.0,12.75,0
565569,2021-09-05 12:21:00,14111.0,United Kingdom,18.0,48.3,0
556047,2021-06-08 12:57:00,12901.0,United Kingdom,90.0,276.24,0
548189,2021-03-29 15:15:00,16607.0,United Kingdom,163.0,141.41,0
557213,2021-06-17 12:16:00,15021.0,United Kingdom,119.0,218.14,0
549142,2021-04-06 15:26:00,Cliente_generico,United Kingdom,,,0
571310,2021-10-17 10:17:00,13394.0,United Kingdom,463.0,371.73,0
542254,2021-01-26 16:41:00,14733.0,United Kingdom,133.0,511.69,0
576674,2021-11-16 12:00:00,Cliente_generico,United Kingdom,,,0
C553841,2021-05-19 12:19:00,16029.0,United Kingdom,,,1
548546,2021-03-31 19:20:00,16600.0,United Kingdom,186.0,111.6,0
558563,2021-06-30 13:43:00,14561.0,United Kingdom,192.0,344.92,0
543385,2021-02-07 16:24:00,Cliente_generico,United Kingdom,1.0,7.95,0
546034,2021-03-09 09:44:00,14032.0,United Kingdom,291.0,309.64,0
557602,2021-06-21 11:57:00,14110.0,United Kingdom,156.0,379.72,0
544596,2021-02-21 17:35:00,16441.0,United Kingdom,110.0,211.0,0
553006,2021-05-12 16:45:00,15544.0,United Kingdom,393.0,560.35,0
542634,2021-01-31 10:42:00,15448.0,United Kingdom,232.0,494.64,0
540536,2021-01-09 14:21:00,17757.0,United Kingdom,93.0,145.5,0
536568,2020-12-01 15:28:00,16048.0,United Kingdom,12.0,5.04,0
545686,2021-03-06 12:09:00,18211.0,United Kingdom,56.0,137.9,0
553861,2021-05-19 13:58:00,13591.0,United Kingdom,135.0,314.03,0
C551015,2021-04-26 11:06:00,12753.0,Japan,,,1
567370,2021-09-20 09:13:00,14236.0,United Kingdom,272.0,301.56,0
560034,2021-07-14 13:35:00,13933.0,United Kingdom,113.0,300.99,0
547419,2021-03-23 10:27:00,15061.0,United Kingdom,1135.0,1649.58,0
C565681,2021-09-06 10:42:00,15521.0,United Kingdom,,,1
565081,2021-09-01 09:03:00,Cliente_generico,United Kingdom,1.0,,0
565680,2021-09-06 10:27:00,14560.0,United Kingdom,240.0,100.8,0
561244,2021-07-26 11:24:00,13865.0,United Kingdom,54.0,100.82,0
C576831,2021-11-16 14:56:00,12748.0,United Kingdom,,,1
542155,2021-01-26 10:51:00,15777.0,United Kingdom,112.0,285.6,0
572023,2021-10-20 11:03:00,17764.0,United Kingdom,247.0,556.85,0
577749,2021-11-21 14:26:00,16242.0,United Kingdom,299.0,534.2,0
C537383,2020-12-06 13:17:00,16550.0,United Kingdom,,,1
550901,2021-04-21 12:12:00,13389.0,United Kingdom,115.0,257.89,0
555546,2021-06-05 13:09:00,17735.0,United Kingdom,118.0,228.3,0
561900,2021-07-31 15:31:00,16655.0,United Kingdom,523.0,638.19,0
547963,2021-03-28 15:42:00,13037.0,United Kingdom,158.0,250.42,0
575968,2021-11-13 12:47:00,14882.0,United Kingdom,92.0,341.8,0
571745,2021-10-19 10:48:00,14911.0,EIRE,711.0,1588.75,0
539986,2020-12-23 15:21:00,Cliente_generico,United Kingdom,7.0,15.25,0
543115,2021-02-03 13:27:00,14606.0,United Kingdom,72.0,120.75,0
552947,2021-05-12 11:57:00,16943.0,United Kingdom,20.0,172.1,0
550002,2021-04-14 09:30:00,12709.0,Germany,41.0,68.0,0
551320,2021-04-27 15:25:00,Cliente_generico,United Kingdom,60.0,,0
569539,2021-10-04 15:58:00,18102.0,United Kingdom,112.0,557.76,0
569863,2021-10-06 14:44:00,Cliente_generico,United Kingdom,1.0,9.95,0
545812,2021-03-07 12:26:00,14214.0,United Kingdom,313.0,638.65,0
569740,2021-10-06 10:52:00,15769.0,United Kingdom,1600.0,2924.0,0
564648,2021-08-26 14:04:00,15641.0,United Kingdom,466.0,581.82,0
573751,2021-11-01 09:33:00,Cliente_generico,United Kingdom,10.0,,0
551859,2021-05-04 15:37:00,14336.0,United Kingdom,301.0,230.03,0
538070,2020-12-09 14:08:00,16519.0,United Kingdom,24.0,103.7,0
576848,2021-11-16 15:38:00,15051.0,United Kingdom,124.0,245.68,0
546442,2021-03-14 10:38:00,15159.0,United Kingdom,54.0,207.3,0
560422,2021-07-18 15:14:00,16746.0,United Kingdom,162.0,300.18,0
541967,2021-01-24 13:35:00,Cliente_generico,United Kingdom,,,0
C546894,2021-03-17 18:21:00,14334.0,United Kingdom,,,1
559948,2021-07-14 10:41:00,12653.0,Israel,633.0,1430.75,0
539688,2020-12-21 11:00:00,12678.0,France,1.0,150.0,0
548916,2021-04-05 10:07:00,14849.0,United Kingdom,377.0,422.34,0
576767,2021-11-16 13:12:00,Cliente_generico,United Kingdom,,,0
565851,2021-09-07 13:06:00,14911.0,EIRE,332.0,637.29,0
538909,2020-12-15 10:48:00,13491.0,United Kingdom,18.0,97.5,0
553475,2021-05-17 11:31:00,18102.0,United Kingdom,306.0,866.4,0
536523,2020-12-01 12:50:00,12868.0,United Kingdom,112.0,203.3,0
547571,2021-03-24 09:52:00,16265.0,United Kingdom,182.0,432.3,0
557871,2021-06-23 12:41:00,13458.0,United Kingdom,130.0,300.78,0
C565290,2021-09-02 11:46:00,16092.0,United Kingdom,,,1
553017,2021-05-12 19:01:00,12757.0,Portugal,311.0,602.83,0
549471,2021-04-08 14:39:00,17389.0,United Kingdom,72.0,73.5,0
573924,2021-11-02 09:45:00,15065.0,United Kingdom,202.0,299.38,0
C554011,2021-05-20 12:55:00,13151.0,United Kingdom,,,1
576641,2021-11-16 09:59:00,17549.0,United Kingdom,150.0,120.66,0
574746,2021-11-07 08:30:00,16523.0,United Kingdom,198.0,676.8,0
546019,2021-03-08 17:25:00,14507.0,United Kingdom,50.0,39.49,0
556809,2021-06-14 16:48:00,17179.0,United Kingdom,82.0,223.48,0
567768,2021-09-22 11:17:00,15950.0,United Kingdom,123.0,255.84,0
574661,2021-11-06 11:56:00,13447.0,United Kingdom,166.0,430.3,0
C575940,2021-11-13 11:38:00,17838.0,United Kingdom,,,1
549838,2021-04-12 13:39:00,16705.0,United Kingdom,48.0,96.0,0
547519,2021-03-23 14:46:00,16308.0,United Kingdom,1000.0,320.0,0
C554140,2021-05-23 10:34:00,13004.0,United Kingdom,,,1
C558736,2021-07-01 15:14:00,18075.0,United Kingdom,,,1
577080,2021-11-17 15:24:00,17001.0,United Kingdom,172.0,357.6,0
560048,2021-07-14 15:02:00,13515.0,United Kingdom,127.0,132.16,0
C566963,2021-09-15 17:09:00,17573.0,United Kingdom,,,1
568709,2021-09-28 15:42:00,15036.0,United Kingdom,176.0,219.86,0
539651,2020-12-20 16:19:00,Cliente_generico,United Kingdom,26.0,32.5,0
578171,2021-11-23 11:36:00,17685.0,United Kingdom,207.0,392.4,0
576400,2021-11-15 10:51:00,13632.0,United Kingdom,288.0,452.14,0
557640,2021-06-21 16:24:00,Cliente_generico,United Kingdom,364.0,1760.85,0
543013,2021-02-02 13:35:00,Cliente_generico,United Kingdom,310.0,1340.77,0
542083,2021-01-25 12:26:00,18008.0,United Kingdom,355.0,130.81,0
579759,2021-11-30 15:02:00,15251.0,United Kingdom,244.0,363.88,0
552215,2021-05-06 15:12:00,Cliente_generico,United Kingdom,,,0
537628,2020-12-07 15:02:00,16293.0,United Kingdom,189.0,378.75,0
542096,2021-01-25 12:52:00,17236.0,United Kingdom,141.0,199.33,0
549149,2021-04-06 15:31:00,Cliente_generico,United Kingdom,,,0
C541284,2021-01-17 12:45:00,17744.0,United Kingdom,,,1
576909,2021-11-17 09:49:00,12471.0,Germany,519.0,1072.12,0
560105,2021-07-14 19:23:00,16794.0,United Kingdom,263.0,222.13,0
541709,2021-01-21 11:09:00,17504.0,United Kingdom,233.0,441.15,0
578272,2021-11-23 13:40:00,17463.0,United Kingdom,126.0,198.31,0
555363,2021-06-02 14:15:00,14453.0,United Kingdom,49.0,119.93,0
566033,2021-09-08 13:07:00,16031.0,United Kingdom,204.0,243.31,0
571545,2021-10-17 16:59:00,Cliente_generico,United Kingdom,11.0,13.65,0
562155,2021-08-03 11:24:00,17940.0,United Kingdom,648.0,162.0,0
C575142,2021-11-08 15:36:00,17183.0,United Kingdom,,,1
561047,2021-07-24 12:46:00,16948.0,United Kingdom,1368.0,194.48,0
C544442,2021-02-20 10:30:00,15465.0,United Kingdom,,,1
568527,2021-09-27 13:21:00,13178.0,United Kingdom,539.0,765.0,0
563382,2021-08-16 10:50:00,18221.0,United Kingdom,145.0,169.85,0
C560220,2021-07-15 15:22:00,14572.0,United Kingdom,,,1
C548647,2021-04-01 13:17:00,12888.0,United Kingdom,,,1
549196,2021-04-07 10:33:00,14911.0,EIRE,271.0,356.23,0
577599,2021-11-21 08:26:00,15738.0,United Kingdom,202.0,316.9,0
569567,2021-10-05 09:56:00,16059.0,United Kingdom,40.0,105.3,0
576347,2021-11-14 15:38:00,13268.0,United Kingdom,2.0,8.2,0
544569,2021-02-21 12:58:00,16980.0,United Kingdom,418.0,732.36,0
542865,2021-02-01 12:08:00,12929.0,United Kingdom,37.0,117.85,0
562789,2021-08-09 13:50:00,14646.0,Netherlands,7807.0,12341.21,0
567798,2021-09-22 12:00:00,13089.0,United Kingdom,331.0,886.63,0
C539838,2020-12-22 13:59:00,13458.0,United Kingdom,,,1
565577,2021-09-05 12:24:00,14177.0,United Kingdom,2.0,7.5,0
550915,2021-04-21 13:30:00,13263.0,United Kingdom,69.0,133.59,0
541293,2021-01-17 13:39:00,15311.0,United Kingdom,145.0,394.57,0
578688,2021-11-25 09:27:00,16719.0,United Kingdom,235.0,292.67,0
560896,2021-07-21 17:26:00,15623.0,United Kingdom,125.0,301.03,0
561711,2021-07-29 11:45:00,13414.0,United Kingdom,368.0,532.8,0
C575385,2021-11-09 15:19:00,15916.0,United Kingdom,,,1
C571023,2021-10-13 12:18:00,15239.0,United Kingdom,,,1
575701,2021-11-10 16:59:00,13396.0,United Kingdom,461.0,973.72,0
547886,2021-03-28 09:21:00,13652.0,United Kingdom,178.0,329.44,0
562467,2021-08-05 11:50:00,13513.0,United Kingdom,109.0,205.1,0
563927,2021-08-21 15:01:00,14013.0,United Kingdom,258.0,199.22,0
C565229,2021-09-02 09:12:00,17450.0,United Kingdom,,,1
581471,2021-12-08 19:29:00,14702.0,United Kingdom,76.0,199.29,0
573230,2021-10-28 11:55:00,13199.0,United Kingdom,48.0,85.92,0
568656,2021-09-28 12:21:00,14911.0,EIRE,70.0,141.62,0
554502,2021-05-24 14:47:00,14289.0,United Kingdom,26.0,124.68,0
581017,2021-12-07 10:06:00,14910.0,United Kingdom,80.0,110.8,0
C540118,2021-01-05 09:57:00,Cliente_generico,United Kingdom,,,1
540116,2021-01-05 09:54:00,Cliente_generico,United Kingdom,2.0,10.13,0
546428,2021-03-13 14:55:00,12681.0,France,185.0,343.29,0
571090,2021-10-13 15:28:00,15271.0,United Kingdom,34.0,79.5,0
540856,2021-01-12 10:16:00,16655.0,United Kingdom,373.0,812.25,0
568242,2021-09-26 12:11:00,14931.0,Channel Islands,181.0,261.65,0
557599,2021-06-21 11:34:00,Cliente_generico,United Kingdom,,,0
550713,2021-04-20 11:11:00,15159.0,United Kingdom,1.0,12.5,0
542100,2021-01-25 13:15:00,15339.0,United Kingdom,159.0,257.9,0
549833,2021-04-12 13:19:00,13458.0,United Kingdom,666.0,1015.14,0
571918,2021-10-19 16:05:00,17350.0,United Kingdom,240.0,156.24,0
566983,2021-09-16 10:16:00,Cliente_generico,United Kingdom,1.0,,0
537432,2020-12-06 16:10:00,Cliente_generico,United Kingdom,,,0
537759,2020-12-08 11:42:00,13126.0,United Kingdom,108.0,203.64,0
554128,2021-05-23 09:26:00,Cliente_generico,United Kingdom,,,0
555940,2021-06-08 10:10:00,14191.0,United Kingdom,98.0,357.6,0
C574318,2021-11-03 19:11:00,16729.0,United Kingdom,,,1
560834,2021-07-21 12:15:00,16523.0,United Kingdom,204.0,484.4,0
554366,2021-05-24 10:24:00,17450.0,United Kingdom,3084.0,9468.48,0
566520,2021-09-13 11:26:00,17757.0,United Kingdom,61.0,161.19,0
537471,2020-12-07 10:51:00,14344.0,United Kingdom,3.0,17.85,0
562034,2021-08-02 09:14:00,12449.0,Belgium,267.0,777.95,0
C562709,2021-08-08 14:32:00,17511.0,United Kingdom,,,1
572516,2021-10-24 14:45:00,Cliente_generico,United Kingdom,,,0
561108,2021-07-25 11:43:00,Cliente_generico,United Kingdom,,,0
568332,2021-09-26 14:30:00,13434.0,United Kingdom,240.0,461.4,0
556823,2021-06-15 10:24:00,Cliente_generico,United Kingdom,8.0,77.72,0
C574010,2021-11-02 11:51:00,17841.0,United Kingdom,,,1
537456,2020-12-07 09:43:00,17450.0,United Kingdom,780.0,1989.24,0
569693,2021-10-05 15:18:00,17837.0,United Kingdom,105.0,250.95,0
573131,2021-10-27 16:44:00,15622.0,United Kingdom,106.0,381.95,0
540099,2021-01-04 16:41:00,15808.0,United Kingdom,322.0,733.92,0
546220,2021-03-10 12:16:00,16745.0,United Kingdom,584.0,541.1,0
C578039,2021-11-22 14:13:00,17338.0,United Kingdom,,,1
560252,2021-07-17 12:35:00,13468.0,United Kingdom,61.0,115.87,0
569653,2021-10-05 12:52:00,12451.0,Switzerland,1650.0,2539.56,0
553545,2021-05-17 15:37:00,Cliente_generico,United Kingdom,68.0,430.14,0
575475,2021-11-09 16:03:00,17702.0,United Kingdom,302.0,485.6,0
575703,2021-11-10 16:59:00,13767.0,United Kingdom,902.0,1735.3,0
556279,2021-06-09 19:55:00,14562.0,United Kingdom,59.0,215.39,0
578951,2021-11-27 14:40:00,15514.0,United Kingdom,277.0,499.23,0
578947,2021-11-27 13:49:00,14547.0,United Kingdom,438.0,534.58,0
570129,2021-10-07 13:34:00,12885.0,United Kingdom,293.0,519.47,0
566607,2021-09-13 16:40:00,13032.0,United Kingdom,175.0,496.3,0
580887,2021-12-06 12:26:00,13755.0,United Kingdom,80.0,156.9,0
C561682,2021-07-28 19:27:00,13631.0,United Kingdom,,,1
552523,2021-05-09 16:38:00,15797.0,United Kingdom,200.0,330.0,0
541263,2021-01-16 16:10:00,16843.0,United Kingdom,534.0,759.06,0
542796,2021-02-01 11:07:00,17356.0,United Kingdom,166.0,178.22,0
566776,2021-09-15 09:53:00,14911.0,EIRE,226.0,368.37,0
544170,2021-02-16 14:01:00,16148.0,United Kingdom,72.0,76.32,0
539469,2020-12-19 13:59:00,17841.0,United Kingdom,152.0,283.52,0
549670,2021-04-11 12:45:00,16168.0,United Kingdom,88.0,141.2,0
573902,2021-11-01 14:51:00,17428.0,United Kingdom,48.0,311.18,0
544826,2021-02-24 09:36:00,14513.0,United Kingdom,7.0,18.75,0
541086,2021-01-13 12:32:00,16503.0,United Kingdom,118.0,353.7,0
543824,2021-02-14 09:31:00,14631.0,United Kingdom,160.0,309.5,0
552464,2021-05-09 15:12:00,12726.0,France,333.0,223.4,0
C567359,2021-09-19 16:33:00,15201.0,United Kingdom,,,1
551515,2021-05-01 10:51:00,15606.0,United Kingdom,104.0,320.88,0
540160,2021-01-05 11:50:00,15769.0,United Kingdom,1032.0,2574.48,0
565631,2021-09-05 15:49:00,14680.0,United Kingdom,568.0,1226.16,0
580281,2021-12-02 13:15:00,12704.0,Finland,81.0,198.76,0
559157,2021-07-06 15:53:00,13999.0,United Kingdom,167.0,307.03,0
566257,2021-09-11 12:34:00,13324.0,United Kingdom,680.0,855.6,0
568724,2021-09-28 16:27:00,Cliente_generico,United Kingdom,,,0
554286,2021-05-23 14:16:00,17686.0,United Kingdom,97.0,386.96,0
546741,2021-03-16 12:22:00,13261.0,United Kingdom,20.0,99.0,0
546029,2021-03-09 08:59:00,15206.0,United Kingdom,6.0,17.7,0
543278,2021-02-06 14:43:00,16745.0,United Kingdom,406.0,203.82,0
540630,2021-01-10 11:59:00,17849.0,United Kingdom,19.0,217.75,0
559817,2021-07-12 16:20:00,Cliente_generico,United Kingdom,652.0,1839.58,0
547563,2021-03-24 08:56:00,15651.0,United Kingdom,238.0,227.32,0
554105,2021-05-22 14:04:00,14711.0,United Kingdom,111.0,213.06,0
539442,2020-12-17 15:39:00,16558.0,United Kingdom,127.0,311.15,0
563952,2021-08-22 10:44:00,15572.0,United Kingdom,267.0,679.25,0
545162,2021-02-28 13:35:00,16187.0,United Kingdom,247.0,480.9,0
564966,2021-08-31 15:08:00,17677.0,United Kingdom,24.0,34.8,0
578354,2021-11-24 10:12:00,17139.0,United Kingdom,232.0,468.52,0
C555729,2021-06-06 16:50:00,13552.0,United Kingdom,,,1
550986,2021-04-21 18:06:00,Cliente_generico,United Kingdom,378.0,1654.97,0
572926,2021-10-27 09:23:00,15659.0,United Kingdom,111.0,306.45,0
570292,2021-10-10 11:59:00,13418.0,United Kingdom,124.0,370.68,0
550972,2021-04-21 17:05:00,14031.0,United Kingdom,46.0,99.63,0
541850,2021-01-23 13:58:00,14224.0,United Kingdom,99.0,244.3,0
573124,2021-10-27 16:24:00,13654.0,United Kingdom,24.0,99.6,0
C565597,2021-09-05 14:29:00,12709.0,Germany,,,1
571080,2021-10-13 15:19:00,13719.0,United Kingdom,77.0,250.49,0
565420,2021-09-04 12:09:00,16326.0,United Kingdom,85.0,313.05,0
554633,2021-05-25 11:44:00,14287.0,United Kingdom,144.0,17.28,0
543464,2021-02-08 14:15:00,16779.0,United Kingdom,308.0,364.32,0
C540852,2021-01-12 09:48:00,15197.0,United Kingdom,,,1
553655,2021-05-18 11:14:00,16775.0,United Kingdom,31.0,114.7,0
553559,2021-05-17 17:12:00,14931.0,Channel Islands,1.0,293.0,0
551391,2021-04-28 12:06:00,15514.0,United Kingdom,152.0,385.2,0
559491,2021-07-08 13:53:00,Cliente_generico,United Kingdom,119.0,646.04,0
544391,2021-02-18 11:53:00,15755.0,United Kingdom,198.0,314.68,0
C538692,2020-12-14 09:58:00,13599.0,United Kingdom,,,1
C542402,2021-01-27 16:05:00,16124.0,United Kingdom,,,1
542505,2021-01-28 12:04:00,Cliente_generico,United Kingdom,2560.0,,0
575039,2021-11-08 11:53:00,15005.0,United Kingdom,245.0,327.22,0
544098,2021-02-16 10:04:00,16019.0,United Kingdom,396.0,1129.35,0
C566472,2021-09-12 18:19:00,16187.0,United Kingdom,,,1
548997,2021-04-05 14:33:00,Cliente_generico,United Kingdom,20.0,,0
C562577,2021-08-07 13:09:00,15518.0,United Kingdom,,,1
C557879,2021-06-23 13:15:00,14911.0,EIRE,,,1
579495,2021-11-29 15:34:00,13576.0,United Kingdom,180.0,327.48,0
565852,2021-09-07 13:11:00,Cliente_generico,United Kingdom,7.0,14.1,0
569550,2021-10-04 17:32:00,15955.0,United Kingdom,10.0,8.5,0
556827,2021-06-15 10:29:00,15134.0,United Kingdom,101.0,171.63,0
541278,2021-01-17 11:53:00,14135.0,United Kingdom,52.0,167.4,0
553192,2021-05-15 13:27:00,15333.0,United Kingdom,344.0,1028.56,0
549502,2021-04-08 15:07:00,Cliente_generico,United Kingdom,1.0,,0
548739,2021-04-04 11:28:00,15493.0,United Kingdom,106.0,412.49,0
